DATE_TIME,PLANT_ID,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,WIND_SPEED,WIND_DIRECTION,HUMIDITY,VISIBILITY,PRECIPITATION
2020-05-15 00:00:00,4136001,iq8k7ZNt4Mwm3w0,27.0047637,25.0607889,0,0,N,0.72,2,0.01041666667
2020-05-15 00:15:00,4136001,iq8k7ZNt4Mwm3w0,26.88081143,24.42186883,0,0,N,0.72,2,0.01041666667
2020-05-15 00:30:00,4136001,iq8k7ZNt4Mwm3w0,26.68205534,24.42729031,0,0,N,0.72,2,0.01041666667
2020-05-15 00:45:00,4136001,iq8k7ZNt4Mwm3w0,26.5005889,24.4206776,0,0,N,0.72,2,0.01041666667
2020-05-15 01:00:00,4136001,iq8k7ZNt4Mwm3w0,26.596148,25.08821041,0,0,N,0.72,2,0.01041666667
2020-05-15 01:15:00,4136001,iq8k7ZNt4Mwm3w0,26.51274003,25.31796967,0,0,N,0.72,2,0.01041666667
2020-05-15 01:30:00,4136001,iq8k7ZNt4Mwm3w0,26.49433897,25.21719253,0,0,N,0.72,2,0.01041666667
2020-05-15 01:45:00,4136001,iq8k7ZNt4Mwm3w0,26.42041021,25.06506231,0,0,N,0.72,2,0.01041666667
2020-05-15 02:00:00,4136001,iq8k7ZNt4Mwm3w0,26.40194613,24.69146937,0,0,N,0.72,2,0.01041666667
2020-05-15 02:15:00,4136001,iq8k7ZNt4Mwm3w0,26.22607821,24.55948079,0,0,N,0.72,2,0.01041666667
2020-05-15 02:30:00,4136001,iq8k7ZNt4Mwm3w0,26.2603992,24.48240663,0,0,N,0.72,2,0.01041666667
2020-05-15 02:45:00,4136001,iq8k7ZNt4Mwm3w0,26.2978261,24.4886982,0,0,N,0.72,2,0.01041666667
2020-05-15 03:00:00,4136001,iq8k7ZNt4Mwm3w0,26.3282491,24.50628962,0,0,N,0.72,2,0.01041666667
2020-05-15 03:15:00,4136001,iq8k7ZNt4Mwm3w0,26.15870973,24.59519743,0,0,N,0.72,2,0.01041666667
2020-05-15 03:30:00,4136001,iq8k7ZNt4Mwm3w0,26.07849933,24.80131437,0,0,N,0.72,2,0.01041666667
2020-05-15 03:45:00,4136001,iq8k7ZNt4Mwm3w0,26.00130397,24.60781745,0,0,N,0.72,2,0.01041666667
2020-05-15 04:00:00,4136001,iq8k7ZNt4Mwm3w0,25.6972106,24.626179,0,0,N,0.72,2,0.01041666667
2020-05-15 04:15:00,4136001,iq8k7ZNt4Mwm3w0,25.62770241,24.77314507,0,0,N,0.72,2,0.01041666667
2020-05-15 04:30:00,4136001,iq8k7ZNt4Mwm3w0,25.48204579,24.79669075,0,0,N,0.72,2,0.01041666667
2020-05-15 04:45:00,4136001,iq8k7ZNt4Mwm3w0,25.23093169,24.43690428,0,0,N,0.72,2,0.01041666667
2020-05-15 05:00:00,4136001,iq8k7ZNt4Mwm3w0,25.1175986,24.10457963,0,0,N,0.72,2,0.01041666667
2020-05-15 05:15:00,4136001,iq8k7ZNt4Mwm3w0,25.0918621,23.897232,0,0,N,0.72,2,0.01041666667
2020-05-15 05:30:00,4136001,iq8k7ZNt4Mwm3w0,24.91696783,23.83947131,0,7,N,0.77,2,0.01041666667
2020-05-15 05:45:00,4136001,iq8k7ZNt4Mwm3w0,24.7412738,23.7866618,0.002838054505,7,N,0.77,2,0.01041666667
2020-05-15 06:00:00,4136001,iq8k7ZNt4Mwm3w0,24.74278657,24.07722983,0.01296197815,7,N,0.77,2,0.01041666667
2020-05-15 06:15:00,4136001,iq8k7ZNt4Mwm3w0,24.7639109,24.35618945,0.02103766872,7,N,0.77,2,0.01041666667
2020-05-15 06:30:00,4136001,iq8k7ZNt4Mwm3w0,24.7863229,24.5488861,0.042435399,7,N,0.77,2,0.01041666667
2020-05-15 06:45:00,4136001,iq8k7ZNt4Mwm3w0,25.0482451,25.746662,0.1034958783,7,N,0.77,2,0.01041666667
2020-05-15 07:00:00,4136001,iq8k7ZNt4Mwm3w0,25.6732025,28.67470703,0.1994504837,7,N,0.77,2,0.01041666667
2020-05-15 07:15:00,4136001,iq8k7ZNt4Mwm3w0,26.076818,30.72550493,0.3176650259,7,N,0.77,2,0.01041666667
2020-05-15 07:30:00,4136001,iq8k7ZNt4Mwm3w0,26.42423907,32.20680357,0.3829133633,7,N,0.77,2,0.01041666667
2020-05-15 07:45:00,4136001,iq8k7ZNt4Mwm3w0,27.12028752,34.59156221,0.4482866631,7,N,0.77,2,0.01041666667
2020-05-15 08:00:00,4136001,iq8k7ZNt4Mwm3w0,27.67897027,35.70585637,0.4550275753,7,N,0.77,2,0.01041666667
2020-05-15 08:15:00,4136001,iq8k7ZNt4Mwm3w0,27.95349233,36.78689773,0.509315263,7,N,0.77,2,0.01041666667
2020-05-15 08:30:00,4136001,iq8k7ZNt4Mwm3w0,28.52621466,38.61774948,0.5709116793,0,N,0.68,4,0.01041666667
2020-05-15 08:45:00,4136001,iq8k7ZNt4Mwm3w0,29.31902147,40.7380359,0.6253999813,0,N,0.68,4,0.01041666667
2020-05-15 09:00:00,4136001,iq8k7ZNt4Mwm3w0,29.57204362,41.47150403,0.6542055952,0,N,0.68,4,0.01041666667
2020-05-15 09:15:00,4136001,iq8k7ZNt4Mwm3w0,30.09140723,43.4653736,0.7024373413,0,N,0.68,4,0.01041666667
2020-05-15 09:30:00,4136001,iq8k7ZNt4Mwm3w0,30.63865838,44.14519641,0.7566826428,0,N,0.68,4,0.01041666667
2020-05-15 09:45:00,4136001,iq8k7ZNt4Mwm3w0,31.37512003,45.719524,0.799745994,0,N,0.68,4,0.01041666667
2020-05-15 10:00:00,4136001,iq8k7ZNt4Mwm3w0,31.89209383,46.1311739,0.828095938,0,N,0.68,4,0.01041666667
2020-05-15 10:15:00,4136001,iq8k7ZNt4Mwm3w0,32.43747986,47.14350828,0.8748338507,0,N,0.68,4,0.01041666667
2020-05-15 10:30:00,4136001,iq8k7ZNt4Mwm3w0,33.07413527,48.6802898,0.9080560733,0,N,0.68,4,0.01041666667
2020-05-15 10:45:00,4136001,iq8k7ZNt4Mwm3w0,33.1924701,50.24956017,0.9433527083,0,N,0.68,4,0.01041666667
2020-05-15 11:00:00,4136001,iq8k7ZNt4Mwm3w0,33.46205667,51.61099133,0.9579001053,0,N,0.68,4,0.01041666667
2020-05-15 11:15:00,4136001,iq8k7ZNt4Mwm3w0,34.25179517,54.8943019,0.9704477541,0,N,0.68,4,0.01041666667
2020-05-15 11:30:00,4136001,iq8k7ZNt4Mwm3w0,34.65145467,56.08395293,0.987932009,9,W,0.59,4,0.01041666667
2020-05-15 11:45:00,4136001,iq8k7ZNt4Mwm3w0,35.15152597,55.59379528,0.9533445176,9,W,0.59,4,0.01041666667
2020-05-15 12:00:00,4136001,iq8k7ZNt4Mwm3w0,35.16610503,57.4882405,0.9469201943,9,W,0.59,4,0.01041666667
